Referrer,Downloads
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dhow%2Bdoes%2Borphan%2Bdrug%2Bstatus%2Bimpact%2Bclinical%2Btrials%26form%3DEDGTCT%26qs%3DPF%26cvid%3Da1bd3c7c15654603ab99fad944b6507c%26refig%3D0600e61e6b784bd2e0073e5e1327e260%26cc%3DUS%26setlang%3Den-US%26plvar%3D0,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dhow%2Bmany%2Bphase%2B3%2Btrials%2Bare%2Brequired%2Bfor%2BOrphan%2Bdrug%2Bapproval%26form%3DEDNTHT%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26rec_search%3D1%26plvar%3D0%26refig%3Dc0176694acbd4f50c9956afdf524e62a%26sp%3D-1%26ghc%3D1%26pq%3Dhow%2Bmany%2Bphase%2B3%2Btrials%2Bare%2Brequired%2Bfor%2Borphan%2Bdrug%2Bapproval%26sc%3D0-61%26qs%3Dn%26sk%3D%26cvid%3Dc0176694acbd4f50c9956afdf524e62a,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2520drug%2520status%2520then%2520approval%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dorphan%2520drug%2520status%2520then%2520approval%26sc%3D0-32%26sk%3D%26cvid%3D6203B24ED2BD43F4BEC35540DF6E4662,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2BIND%26src%3DIE-SearchBox%26FORM%3DIESR4A,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2Bapproval%2Bby%2Bfda%2Band%2Bema%26form%3DEDNTHB%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26rec_search%3D1%26plvar%3D0%26refig%3Deb995a191118488688277a822c2dd929%26PC%3DHCTS%26sp%3D1%26qs%3DHS%26sk%3DPRES1%26sc%3D8-0%26cvid%3Deb995a191118488688277a822c2dd929%26cc%3DUS%26setlang%3Den-US,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bstudy%2Bsubmission%2Bfda%26form%3DWNSGPH%26qs%3DSW%26cvid%3D403c4b47982c4910bdfa1785cd8b4e9b%26pq%3Dorphan%2Bstudy%2Bsubmission%2Bfda%26cc%3DUS%26setlang%3Den-US%26nclid%3D4CE734545A0A607D9C3AB8DF1BB68008%26ts%3D1587381197288%26wsso%3DModerate,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dphase%2Bii%2Btrials%2Borphan%2Bdrug%2Bstatus%26form%3DEDGTCT%26qs%3DPF%26cvid%3D1a2bd447cb184640b68d2e38654a8257%26refig%3D3cb687307da04496d02795a7d8f041c6%26cc%3DUS%26setlang%3Den-US%26elv%3DAXK1c4IvZoNqPoPnS%2521QRLOP%2521NlgQXBnhLDExGRaZ6WyEnbjAxrlmtoJL%2A0cYVhzV6z15pN0fAVNpDaCC2T3Th0kQs90jO2bi0wjZRpdliR1Q,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dphases%2Bof%2Btrials%2Bfor%2Borphan%2Bdrugs%26form%3DEDGTCT%26qs%3DPF%26cvid%3D3f3613d71f8d44549bb8368f0b991fbe%26refig%3Deb15a657a23542fbfd4137ab24819d0e%26cc%3DUS%26setlang%3Den-US%26plvar%3D0,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dunderstanding%2Bthe%2BIND%2Bprocess%2Bclinical%2Btrials%26form%3DIENTHT%26mkt%3Den-za%26httpsmsn%3D1%26msnews%3D1%26refig%3D1e9b0935ad3f42f2ed18019adafa5ef3%26sp%3D-1%26pq%3Dunderstanding%2Bthe%2Bind%2Bprocess%2B%26sc%3D0-30%26qs%3Dn%26sk%3D%26cvid%3D1e9b0935ad3f42f2ed18019adafa5ef3,1
https%3A%2F%2Fwww.google.com%2Furl%3Fq%3Dhttps%3A%2F%2Frepository.upenn.edu%2Fcgi%2Fviewcontent.cgi%3Farticle%253D1048%2526context%253Dace%26sa%3DD%26source%3Dhangouts%26ust%3D1587076975710000%26usg%3DAFQjCNGMA51uqKkNI5s2UcFi3A4-PWN_Hg,1
intranet.lerner.ccf.org/inventor_resources/,1
jurn.org/,1
com.google.android.googlequicksearchbox,1
m.instasrch.com/search/gcse,1
mail.google.com/mail/ca/u/0/,1
mail.google.com/mail/u/0/,1
onlinebooks.library.upenn.edu,1
pfp1.boehringer.com/,1
r.search.yahoo.com/_ylt=AwrEzexofatem2QA20Nx.9w4;_ylu=X3oDMTByaWg0YW05BGNvbG8DYmYxBHBvcwM4BHZ0aWQDBHNlYwNzcg--/RV=2/RE=1588325864/RO=10/RU=https%3a%2f%2frepository.upenn.edu%2fcgi%2fviewcontent.cgi%3farticle%3d1037%26context%3dace/RK=2/RS=bz1npJM4.wxYgPTqCDNI.UAgx.4-,1
